business_id,name,address,city,state
67372,#1 CHINA BUFFET,,Lexington,KY
61072,1780'S CAFE,,Lexington,KY
65440,1ST.  BASE CONCESSION,,Lexington,KY
31040,300 GRILL EASTLAND,,Lexington,KY
32279,300 GRILL SOUTHLAND,,Lexington,KY
65439,3RD. BASE CONCESSIONN,,Lexington,KY
81149,4 SPICE INDIAN CUISINE,,Lexington,KY
95307,"A & W BURGERS, CHICKEN & FLOATS",,Lexington,KY
63427,A BABY EDUCATIONAL CENTER LLC,,Lexington,KY
65080,A CUP OF COMMON WEALTH,,Lexington,KY
30739,A LA LUCIE,,Lexington,KY
30740,A P  SUGGINS,,Lexington,KY
43192,"A&W BURGERS, CHICKEN, FLOATS",,Lexington,KY
75081,"ABC 123 LEARNING CENTER, LLC",,Lexington,KY
74487,ABUELO'S MEXICAN FOOD EMBASSY,,Lexington,KY
72071,ACTIVE DAY OF LEXINGTON,,Lexington,KY
41689,"ADVENTURE CENTER, LLS",,Lexington,KY
70022,AFC SUSHI @ KROGER # 407,,Lexington,KY
84685,AFC SUSHI @ KROGER #352,,Lexington,KY
88221,AFC SUSHI @ KROGER #737,,Lexington,KY
83286,AFC SUSHI @ KROGER #767,,Lexington,KY
79573,AFC SUSHI @ KROGER #768,,Lexington,KY
77973,AFC SUSHI @ KROGER 371,,Lexington,KY
89306,AFC SUSHI @ KROGER L-359,,Lexington,KY
77812,AFC SUSHI @ KROGER L-361,,Lexington,KY
89304,AFC SUSHI @ KROGER L-721,,Lexington,KY
82821,AFC SUSHI @ UKY001,,Lexington,KY
69425,"AFRICAN CARIBBEAN MKT, LLC",,Lexington,KY
54921,AG NORTH DELI,,Lexington,KY
68739,AGUASCALIENTES RESTAURANTE,,Lexington,KY
93062,ALANNA'S HOUSE OF SOUL,,Lexington,KY
67013,ALFALFA RESTAURANT,,Lexington,KY
56249,"ALMOST HOME CHILDCARE, INC.",,Lexington,KY
30745,AL'S BAR,,Lexington,KY
42242,ANDOVER GOLF AND COUNTRY CLUB,,Lexington,KY
89969,APIARY CATERING & EVENTS,,Lexington,KY
85539,APOTHECARY CAFE,,Lexington,KY
60544,APPLEBEE'S NEIGHBOR HOOD GRILL & BAR,,Lexington,KY
39671,APPLEBEE'S NEIGHBORHOOD GRILL & BAR,,Lexington,KY
71880,APPLEBEE'S NEIGHBORHOOD GRILL & BAR,,Lexington,KY
76520,APPLEBEE'S NEIGHBORHOOD GRILL & BAR,,Lexington,KY
30794,ARAMARK CAFETERIA,,Lexington,KY
31459,ARAMARK-BLDG 3/LEXMARK,,Lexington,KY
36043,ARAMARK-BUILDING 32-35/LEXMARK,,Lexington,KY
76790,ARBOR YOUTH SERVICES,,Lexington,KY
48387,ARBY'S,,Lexington,KY
48691,ARBY'S,,Lexington,KY
54402,ARBY'S,,Lexington,KY
49229,ARBY'S - PALOMAR,,Lexington,KY
30759,ARBY'S #1092,,Lexington,KY
30756,ARBY'S #1128,,Lexington,KY
30761,ARBY'S #1299,,Lexington,KY
30757,ARBY'S #1339,,Lexington,KY
30762,ARBY'S #159,,Lexington,KY
62651,ARBY'S #6911,,Lexington,KY
30760,ARBY'S #784,,Lexington,KY
30758,ARBY'S OF LEXINGTON #1952,,Lexington,KY
30763,ARBY'S RESTAURANT,,Lexington,KY
91858,ARCADIUM,,Lexington,KY
71289,ARCHITECTURAL KITCHENS & BATHS,,Lexington,KY
30904,ARIRANG GARDEN,,Lexington,KY
63815,ARLINGTON CHRISTIAN CHURCH,,Lexington,KY
30764,ARLINGTON ELEMENTARY SCHOOL,,Lexington,KY
32210,AS DE OROS,,Lexington,KY
80512,ASHLAND AVE. BAPTIST CHURCH,,Lexington,KY
30767,ASHLAND CHEMICAL - LEXINGTON,,Lexington,KY
30766,ASHLAND ELEMENTARY SCHOOL,,Lexington,KY
30768,ASHLAND TERRACE,,Lexington,KY
71151,ASIA CAFE,,Lexington,KY
77498,ASIAN CAFE,,Lexington,KY
43117,ASIAN TOO EXPRESS,,Lexington,KY
50280,ASIAN WIND RESTAURANT,,Lexington,KY
78050,ASIANA CUISINE ENTERPRISES,,Lexington,KY
71975,ASUKA GRILL & SHUSHI,,Lexington,KY
38315,ATHENIAN GRILL,,Lexington,KY
31995,ATHENS FOOD MART,,Lexington,KY
60746,ATHENS SOFTBALL COMPLEX,,Lexington,KY
76625,ATHENS-CHILESBURG ELEMENTARY,,Lexington,KY
30742,ATOMIC CAFE,,Lexington,KY
71209,AUNTIE ANNE'S  PRETZELS,,Lexington,KY
30773,AUSTIN CITY SALOON,,Lexington,KY
61166,AVON MART,,Lexington,KY
30774,AVON SERVICE MART AND GRILL,,Lexington,KY
72696,AZUR,,Lexington,KY
76013,B.D.'S MONGOLIAN BARBEQUE,,Lexington,KY
89821,BABYCAKES CUPCAKES,,Lexington,KY
67829,BACKSTRETCH BAR & GRILL,,Lexington,KY
89308,BACKSTRETCH BAR & GRILL (COMMISSARY FOR D DOGS),,Lexington,KY
61459,BACKYARD BURGERS,,Lexington,KY
65287,BACKYARD BURGERS,,Lexington,KY
32225,BAKERY BLESSINGS & BOOKSTORE @ THE BAR,,Lexington,KY
85008,BAKERY NIETO - PANADERIA NIETO,,Lexington,KY
94566,BAPTIST HEALTH LEXINGTON CHILD DEVELOPMENT CENTER,,Lexington,KY
30885,"BAPTIST HEALTH LEXINGTON, CAFE CENTRAL",,Lexington,KY
66803,"BAPTIST HEALTH LEXINGTON, EDUCATION CENTER",,Lexington,KY
89926,BARBARA COOK CATERING,,Lexington,KY
61343,BARNES & NOBLE BOOKSELLERS,,Lexington,KY
30782,BASKIN ROBBINS,,Lexington,KY
91909,BASKIN ROBBINS,,Lexington,KY
32402,BASKIN ROBBINS ICE CREAM,,Lexington,KY
32215,BAYOU BLUEGRASS CATERING@,,Lexington,KY
31181,BD'S MONGOLIAN GRILL,,Lexington,KY
61796,BEAUMONT BAR & GRILL,,Lexington,KY
30785,BEAUMONT MIDDLE SCHOOL,,Lexington,KY
58942,"BEER TRAPPE, THE",,Lexington,KY
56134,BELLA NOTTE ITALIAN TRATTORIA,,Lexington,KY
94180,BELLE'S BAR,,Lexington,KY
65274,BELLINI'S-MI INTERNATIONAL/DBA,,Lexington,KY
30789,BIG BLUE BIRD EARLY,,Lexington,KY
30792,BILLY'S BAR B Q,,Lexington,KY
93523,BLACK PEARL KIOSK,,Lexington,KY
32446,BLAZER CAFE,,Lexington,KY
31631,BLUE 3 STAND,,Lexington,KY
31623,BLUE CONCOURSE NO. 4,,Lexington,KY
91112,BLUE DEVILS FOOTBALL BOOSTERS,,Lexington,KY
90181,BLUE DOOR SMOKEHOUSE,,Lexington,KY
30796,BLUE GRASS CHRISTIAN CAMP,,Lexington,KY
91880,"BLUE HERON, THE",,Lexington,KY
68202,BLUE REEF - SUSHI & GRILL,,Lexington,KY
93444,BLUE STALLION,,Lexington,KY
31138,BLUEFIRE BAR & GRILL,,Lexington,KY
62124,BLUEGRASS BAPTIST SCHOOL,,Lexington,KY
30771,BLUEGRASS CAFE @ BCTC,,Lexington,KY
37896,BLUEGRASS CATERING,,Lexington,KY
67747,BLUEGRASS GIRLS FASTPITCH,,Lexington,KY
76789,BLUEGRASS TAVERN,,Lexington,KY
92854,BLUEGRASS VOLLEYBALL CENTER,,Lexington,KY
30800,BOB EVANS RESTAURANT #107,,Lexington,KY
