Est Number,Premise Name,Premise Address 1,Status,Inspection Type,Score,Inspection Date,Violation List,Followup Required,Opening Date
67372.0,#1 CHINA BUFFET,"125 E. REYNOLDS ROAD, STE. 120",ACTIVE,2.0,91.0,2014-12-16,   6   8  15  18  23  34,NO,2002-01-02
67372.0,#1 CHINA BUFFET,"125 E. REYNOLDS ROAD, STE. 120",ACTIVE,1.0,87.0,2015-06-08,   8  11  15  23  26  29,YES,2002-01-02
67372.0,#1 CHINA BUFFET,"125 E. REYNOLDS ROAD, STE. 120",ACTIVE,2.0,98.0,2015-06-23,  15  30,NO,2002-01-02
67372.0,#1 CHINA BUFFET,"125 E. REYNOLDS ROAD, STE. 120",ACTIVE,1.0,94.0,2015-11-12,   8  15  19  23  30,NO,2002-01-02
61072.0,1780'S CAFE,300 N BROADWAY,ACTIVE,1.0,99.0,2015-02-24,  20,NO,1998-11-11
61072.0,1780'S CAFE,300 N BROADWAY,ACTIVE,1.0,100.0,2015-11-10,,NO,1998-11-11
30690.0,2ND FLOOR CLUB KITCHEN,4201 VERSAILLES RD.,ACTIVE,1.0,97.0,2015-04-09,  15  16,NO,1988-07-06
30690.0,2ND FLOOR CLUB KITCHEN,4201 VERSAILLES RD.,ACTIVE,1.0,89.0,2015-10-07,  11  15  17  18,NO,1988-07-06
30690.0,2ND FLOOR CLUB KITCHEN,4201 VERSAILLES RD.,ACTIVE,2.0,98.0,2015-10-07,  15  18,NO,1988-07-06
31040.0,300 GRILL EASTLAND,750 EAST NEW CIRCLE RD,ACTIVE,1.0,98.0,2014-12-08,  19  30,NO,1988-07-13
31040.0,300 GRILL EASTLAND,750 EAST NEW CIRCLE RD,ACTIVE,1.0,99.0,2015-06-19,  19,NO,1988-07-13
31040.0,300 GRILL EASTLAND,750 EAST NEW CIRCLE RD,ACTIVE,1.0,96.0,2015-12-02,   8  23  30,NO,1988-07-13
32279.0,300 GRILL SOUTHLAND,205 SOUTHLAND DRIVE,ACTIVE,1.0,100.0,2015-03-30,,NO,2005-03-02
32279.0,300 GRILL SOUTHLAND,205 SOUTHLAND DRIVE,ACTIVE,1.0,100.0,2015-09-17,,NO,2005-03-02
95307.0,"A & W BURGERS, CHICKEN & FLOATS",2251 WAR ADMIRAL WAY STE 110,ACTIVE,1.0,94.0,2014-12-19,  17  34,NO,2014-05-13
95307.0,"A & W BURGERS, CHICKEN & FLOATS",2251 WAR ADMIRAL WAY STE 110,ACTIVE,2.0,98.0,2014-12-19,  34,NO,2014-05-13
