business_id,score,date
67372,90,12/1/14
67372,91,12/16/14
61072,99,2/24/15
65440,97,8/26/14
65440,97,4/21/15
31040,98,12/8/14
32279,100,10/13/14
32279,100,3/30/15
65439,99,8/26/14
65439,98,4/21/15
81149,100,12/29/14
81149,74,2/4/15
81149,100,2/13/15
81149,98,2/26/15
81149,98,4/2/15
95307,100,6/30/14
95307,94,12/19/14
95307,98,12/19/14
63427,100,9/25/14
63427,100,3/20/15
65080,97,6/23/14
65080,96,12/10/14
65080,96,5/27/15
30739,88,6/16/14
30739,93,6/16/14
30739,95,12/26/14
30740,96,6/23/14
30740,97,12/4/14
43192,97,10/8/14
43192,100,3/19/15
96528,100,11/25/14
75081,97,10/21/14
75081,100,4/6/15
74487,95,6/18/14
74487,99,6/18/14
74487,99,12/10/14
96533,100,5/15/15
41689,97,8/26/14
41689,96,2/13/15
41689,100,2/13/15
70022,100,11/24/14
69489,98,9/10/14
69489,100,3/4/15
84685,100,9/30/14
84685,100,3/16/15
88221,98,10/23/14
88221,100,4/10/15
83286,98,6/30/14
83286,100,12/30/14
79573,100,9/30/14
79573,100,5/20/15
70024,100,1/27/15
77973,100,10/28/14
77973,100,5/18/15
89306,100,9/18/14
89306,100,2/19/15
77812,96,6/18/14
77812,97,12/11/14
77812,100,12/22/14
89305,100,10/28/14
89305,100,2/25/15
89304,100,9/19/14
89304,98,3/30/15
82821,99,9/22/14
82821,99,3/30/15
54921,99,10/7/14
54921,100,5/4/15
93062,100,9/26/14
93062,95,3/19/15
93062,100,4/15/15
67013,97,6/30/14
67013,98,12/18/14
56249,100,7/30/14
56249,99,1/8/15
30745,94,10/29/14
30745,91,4/6/15
30745,94,4/20/15
42242,91,7/25/14
42242,95,7/25/14
42242,98,1/5/15
96217,97,5/5/15
89969,100,9/29/14
89969,100,3/19/15
85539,100,10/7/14
85539,100,4/27/15
60544,92,7/23/14
60544,96,7/23/14
60544,96,1/15/15
39671,95,6/18/14
39671,99,6/18/14
39671,100,12/9/14
71880,98,7/25/14
71880,92,1/31/15
71880,95,1/31/15
76520,97,10/13/14
76520,99,4/16/15
30794,98,6/27/14
30794,98,12/11/14
31459,99,7/21/14
31459,100,1/29/15
36043,100,7/21/14
36043,100,1/29/15
76790,96,7/16/14
76790,100,1/12/15
48387,98,11/5/14
48691,99,6/11/14
48691,99,12/2/14
54402,98,7/28/14
54402,96,1/12/15
49229,98,6/12/14
49229,96,12/11/14
30759,94,10/13/14
30759,99,10/13/14
30759,96,4/14/15
30756,99,10/28/14
30756,98,4/20/15
30761,100,7/3/14
30761,100,12/8/14
30761,98,5/27/15
30757,100,7/7/14
30757,100,1/2/15
30762,100,10/16/14
30762,100,4/2/15
62651,100,11/11/14
62651,98,5/13/15
30760,100,12/1/14
30760,100,5/21/15
30758,99,9/17/14
30758,96,3/11/15
30763,98,10/29/14
30763,95,4/3/15
91858,100,6/16/14
91858,99,12/17/14
71289,100,8/23/14
71289,100,2/27/15
30904,99,6/27/14
30904,98,12/10/14
30904,98,5/13/15
63815,100,8/23/14
63815,96,2/25/15
63815,100,2/25/15
30764,100,9/5/14
30764,100,2/23/15
32210,90,6/18/14
32210,98,7/1/14
32210,95,12/30/14
80512,100,10/14/14
80512,100,3/31/15
30767,100,3/9/15
30766,100,9/23/14
30766,100,1/26/15
30768,100,8/5/14
30768,94,1/22/15
30768,98,1/22/15
71151,96,12/18/14
96454,100,11/11/14
96454,95,4/29/15
77498,99,10/28/14
77498,94,4/23/15
43117,96,11/7/14
43117,95,4/6/15
50280,93,6/12/14
50280,98,12/16/14
78050,100,6/30/14
78050,100,12/23/14
71975,95,9/29/14
71975,96,3/31/15
38315,100,8/20/14
38315,100,2/25/15
89410,100,5/8/15
31995,98,6/10/14
31995,94,12/10/14
31995,87,12/19/14
31995,96,1/5/15
60746,100,5/22/15
76625,100,9/18/14
76625,100,3/10/15
30742,94,6/17/14
30742,98,6/17/14
30742,99,12/23/14
71209,99,9/5/14
71209,100,2/6/15
30773,100,12/11/14
61166,90,8/27/14
61166,99,8/27/14
61166,96,12/3/14
72696,89,6/11/14
72696,92,6/11/14
72696,97,12/23/14
76013,95,7/24/14
76013,95,1/9/15
89821,97,9/11/14
89821,95,3/12/15
89821,98,3/12/15
67829,94,10/29/14
67829,98,10/29/14
67829,96,4/8/15
89308,100,10/29/14
89308,100,4/8/15
61459,95,11/17/14
61459,99,11/17/14
