Est Number,Reporting Area,Premise Name,Premise Address 1,Inspection Type,Score,Inspection Date,Violation List,Followup Required
67372,605,#1 CHINA BUFFET,"125 E. REYNOLDS ROAD, STE. 120",1,83,7-Nov-13,   8  11  15  18  19  20  27  33,NO
67372,605,#1 CHINA BUFFET,"125 E. REYNOLDS ROAD, STE. 120",2,92,7-Nov-13,   8  15  18  19  20  27,NO
67372,605,#1 CHINA BUFFET,"125 E. REYNOLDS ROAD, STE. 120",1,96,13-May-14,   8  15  32,NO
61072,605,1780'S CAFE,300 N BROADWAY,1,100,17-Oct-13,,NO
65440,605,1ST.  BASE CONCESSION,207 LEGENDS LANE,1,97,7-Aug-13,  20  23  30,NO
31040,605,300 GRILL EASTLAND,750 EAST NEW CIRCLE RD,1,89,13-Jun-13,   1  19  23  26  31  34,NO
31040,605,300 GRILL EASTLAND,750 EAST NEW CIRCLE RD,2,93,13-Jun-13,  19  23  26  31  34,NO
31040,605,300 GRILL EASTLAND,750 EAST NEW CIRCLE RD,1,94,19-Dec-13,  15  19  26  30  31,NO
32279,605,300 GRILL SOUTHLAND,205 SOUTHLAND DRIVE,1,100,17-Oct-13,,NO
32279,605,300 GRILL SOUTHLAND,205 SOUTHLAND DRIVE,1,100,10-Apr-14,,NO
65439,605,3RD. BASE CONCESSIONN,207 LEGENDS LANE,1,98,7-Aug-13,  15  30,NO
81149,605,4 SPICE INDIAN CUISINE,3801 NICHOLASVILLE CTR DR #305,1,100,10-Oct-13,,NO
81149,605,4 SPICE INDIAN CUISINE,3801 NICHOLASVILLE CTR DR #305,1,74,12-Nov-13,   1   3   8  11  12  17  19  31  34,YES
81149,605,4 SPICE INDIAN CUISINE,3801 NICHOLASVILLE CTR DR #305,2,100,21-Nov-13,,NO
81149,605,4 SPICE INDIAN CUISINE,3801 NICHOLASVILLE CTR DR #305,1,96,12-May-14,  26  29,NO
63427,605,A BABY EDUCATIONAL CENTER LLC,540 EUREKA SPRINGS,1,99,21-Oct-13,20,NO
63427,605,A BABY EDUCATIONAL CENTER LLC,540 EUREKA SPRINGS,1,92,4-Apr-14,   5  12  33,NO
63427,605,A BABY EDUCATIONAL CENTER LLC,540 EUREKA SPRINGS,2,96,4-Apr-14,   5  12,NO
65080,605,A CUP OF COMMON WEALTH,105 EASTERN AVE,1,99,1-Jul-13,30,NO
65080,605,A CUP OF COMMON WEALTH,105 EASTERN AVE,1,98,23-Dec-13,  23  30,NO
30739,605,A LA LUCIE,159 NORTH LIMESTONE,1,90,19-Jun-13,  11  13  15  19,NO
30739,605,A LA LUCIE,159 NORTH LIMESTONE,2,97,28-Jun-13,   8  15,NO
30739,605,A LA LUCIE,159 NORTH LIMESTONE,1,88,18-Dec-13,   1  12  15  17  19,YES
30739,605,A LA LUCIE,159 NORTH LIMESTONE,2,97,30-Dec-13,  15  19  31,NO
30739,605,A LA LUCIE,159 NORTH LIMESTONE,2,93,30-Dec-13,   1  15  19  31,NO
30740,605,A P  SUGGINS,345 ROMANY RD,1,97,20-Jun-13,  16  19,NO
30740,605,A P  SUGGINS,345 ROMANY RD,2,99,20-Jun-13,19,NO
